Wall time,Step,Value
1741702550.3425272,3439,0.9543430209159851
1741702553.759731,3459,0.4996418356895447
1741702554.4405055,3469,0.45496833324432373
1741702558.5336094,3529,0.46194687485694885
1741702559.8965302,3549,0.5006213784217834
1741702562.6196766,3589,0.49343934655189514
1741702567.380941,3629,0.5636852979660034
1741702568.0646088,3639,0.5623564720153809
1741702568.7453213,3649,0.5515691041946411
1741702569.4298565,3659,0.4689677953720093
1741702570.1142585,3669,0.6340866088867188
1741702570.8078609,3679,0.5614426732063293
1741702580.3256984,3789,0.5119515657424927
1741702585.7760377,3869,0.45814985036849976
1741702588.4903796,3909,0.4689300060272217
1741702591.8327336,3929,0.6532692313194275
1741702593.196187,3949,0.6167658567428589
1741702595.2395835,3979,0.4660663604736328
1741702598.64357,4029,0.4298720955848694
1741702600.0018334,4049,0.43396639823913574
1741702605.4176116,4099,0.5586326718330383
1741702608.8391936,4149,0.42842432856559753
1741702609.5224717,4159,0.5750218033790588
1741702613.6107535,4219,0.4943666160106659
1741702614.2892768,4229,0.50439453125
1741702618.410175,4259,0.4294648766517639
1741702619.090182,4269,0.4788806736469269
1741702621.820173,4309,0.5432411432266235
1741702625.2240217,4359,0.533623456954956
1741702625.9039838,4369,0.4947831630706787
1741702626.5804722,4379,0.6334186792373657
1741702629.933522,4399,0.45664075016975403
1741702632.6827145,4439,0.4074295461177826
1741702633.3645072,4449,0.442275732755661
1741702634.7300746,4469,0.6807225346565247
1741702637.4596314,4509,0.5074494481086731
1741702638.8213916,4529,0.451558917760849
1741702643.5733738,4569,0.414172500371933
1741702646.3170054,4609,0.45739781856536865
1741702647.0043647,4619,0.5420852303504944
1741702649.7480147,4659,0.6254087090492249
1741702650.456047,4669,0.4937554895877838
1741702651.814626,4689,0.4312017858028412
1741702653.1201622,4709,0.4520891010761261
1741702657.9515994,4749,0.5208868980407715
1741702658.6345155,4759,0.5081489086151123
1741702662.0422688,4809,0.4437183737754822
1741702662.7235935,4819,0.4050605595111847
1741702668.7676158,4879,0.43788373470306396
1741702669.4487004,4889,0.5309569835662842
